plot_id,species_id,composition_ratio
3,1,0.923
3,2,0.014
3,3,0.007
3,4,0.007
3,5,0.049
3,6,0
3,7,0
4,1,0.923
4,2,0.014
4,3,0.007
4,4,0.007
4,5,0.049
4,6,0
4,7,0
5,1,0.923
5,2,0.014
5,3,0.007
5,4,0.007
5,5,0.049
5,6,0
5,7,0
6,1,0.923
6,2,0.014
6,3,0.007
6,4,0.007
6,5,0.049
6,6,0
6,7,0
7,1,0.923
7,2,0.014
7,3,0.007
7,4,0.007
7,5,0.049
7,6,0
7,7,0
8,1,0.923
8,2,0.014
8,3,0.007
8,4,0.007
8,5,0.049
8,6,0
8,7,0
9,1,0.923
9,2,0.014
9,3,0.007
9,4,0.007
9,5,0.049
9,6,0
9,7,0
10,1,0.923
10,2,0.014
10,3,0.007
10,4,0.007
10,5,0.049
10,6,0
10,7,0